432,124,880
223,707,973
918,139,438
990,498,672
502,275,601
635,806,728
156,879,687
540,26,981
313,429,670
817,242,201
782,141,102
218,59,496
493,616,266
274,502,243
873,598,335
486,615,456
962,964,401
692,250,870
471,990,603
82,787,910
521,755,687
740,534,423
329,187,27
2,589,925
495,809,750
106,256,629
476,313,549
7,825,706
242,725,243
394,620,981
262,556,387
179,933,997
88,361,815
885,959,969
168,126,184
880,541,951
845,264,888
382,942,111
669,187,33
841,541,50
551,662,591
170,154,601
590,502,570
344,739,722
830,265,105
746,465,385
809,933,645
433,883,26
957,498,315
264,42,820
26,330,747
909,213,236
281,344,729
505,471,86
964,326,728
843,756,255
979,430,271
970,880,751
165,800,157
601,173,826
134,262,850
420,61,156
485,284,461
501,340,647
164,455,407
116,350,579
237,163,282
923,187,121
536,542,87
242,164,837
230,30,165
183,950,580
231,480,159
966,908,291
227,497,761
774,50,222
57,665,609
657,888,316
24,379,624
209,262,747
13,339,900
23,302,958
666,385,430
349,937,267
506,25,429
372,636,764
474,117,9
967,431,997
888,328,226
818,458,907
38,586,870
375,182,865
835,648,922
715,791,137
704,764,918
444,351,169
2,493,983
846,823,565
737,63,31
831,230,437
402,780,577
